Anaheim Ducks,,,
Trent Frederic,USA,5,"2,050,000"
Jake DeBrusk,Canada,6,"4,000,000"
Oskar Steen,Swedish,1,"800,000"
Left Defenseman,COUNTRY,Yrs of Exp,Base Salary
Mason Lohrei,USA,1,"832,500"
Hampus Lindholm,Swedish,10,"6,000,000"
Derek Forbort,USA,8,"3,500,000"
Matt Grzelcyk IR-LT,USA,7,"4,250,000"
Right Defenseman,COUNTRY,Yrs of Exp,Base Salary
Charlie McAvoy,USA,-,-
Brandon Carlo,USA,7,"4,700,000"
Kevin Shattenkirk,USA,13,"1,050,000"
Ian Mitchell,Canada,3,"775,000"
Goalie,COUNTRY,Yrs of Exp,Base Salary
Linus Ullmark,Swedish,8,"5,000,000"
Jeremy Swayman,USA,3,"3,475,000"
Buffalo Sabres,,,
Left Wing,COUNTRY,Yrs of Exp,Base Salary
Jeff Skinner,Canada,13,"2,500,000"
Jordan Greenway,USA,6,"3,500,000"
Zemgus Girgensons,Latvian,9,"2,500,000"
Victor Olofsson,Swedish,5,"4,750,000"
Zach Benson IR,Canada,1,"855,000"
Center,COUNTRY,Yrs of Exp,Base Salary
Tage Thompson,USA,6,"5,142,857"
Casey Mittelstadt,USA,6,"2,600,000"
Tyson Jost,Canada,7,"2,000,000"
Peyton Krebs,Canada,3,"832,500"
Right Wing,COUNTRY,Yrs of Exp,Base Salary
Dylan Cozens,Canada,3,"5,100,000"
John-Jason Peterka,German,2,"832,500"
Kyle Okposo,USA,16,"2,500,000"
Lukas Rousek,Czech,1,"775,000"
Alex Tuch Out,USA,7,"4,750,000"
Jack Quinn IR-NR,Canada,2,"832,500"
Left Defenseman,COUNTRY,Yrs of Exp,Base Salary
Rasmus Dahlin,Swedish,5,"7,200,000"
Owen Power,Canada,2,"832,500"
Connor Clifton,USA,5,"3,333,333"
Ryan Johnson,USA,1,"832,500"
Right Defenseman,COUNTRY,Yrs of Exp,Base Salary
Mattias Samuelsson,USA,3,"2,285,714"
Henri Jokiharju,Finnish,5,"2,600,000"
Erik Johnson,USA,15,"3,250,000"
Jacob Bryson,Canada,3,"1,900,000"
Goalie,COUNTRY,Yrs of Exp,Base Salary
Devon Levi,Canada,1,"832,500"
Ukko-Pekka Luukkonen,Finnish,3,"925,000"
Eric Comrie IR,Canada,7,"1,800,000"
Carolina Hurricanes,,,
Left Wing,COUNTRY,Yrs of Exp,Base Salary
Andrei Svechnikov,Russia,5,"9,000,000"
Michael Bunting,Canada,4,"1,500,000"
Jordan Martinook,Canada,9,"2,700,000"
Stefan Noesen,USA,9,"775,000"
Center,COUNTRY,Yrs of Exp,Base Salary
Sebastian Aho,Finnish,7,"750,000"
Jesperi Kotkaniemi,Finland,5,"4,500,000"
Jordan Staal,Canada,17,"3,450,000"
Jack Drury,USA,2,"832,500"
Right Wing,COUNTRY,Yrs of Exp,Base Salary
Seth Jarvis,Canada,2,"832,500"
Martin Necas,Czech,6,"3,500,000"
Teuvo Teravainen,Finnish,10,"5,875,000"
Jesper Fast,Swedish,10,"2,400,000"
Brendan Lemieux,Canada,6,"800,000"
Left Defenseman,COUNTRY,Yrs of Exp,Base Salary
Jaccob Slavin,USA,8,"5,500,000"
Brady Skjei,USA,8,"5,400,000"
Dmitry Orlov,Russian,11,"4,750,000"
Right Defenseman,COUNTRY,Yrs of Exp,Base Salary
Brent Burns,Canada,19,"3,000,000"
Brett Pesce,USA,8,"4,025,000"
Tony DeAngelo,USA,-,-
Jalen Chatfield,USA,3,"775,000"
Goalie,COUNTRY,Yrs of Exp,Base Salary
Antti Raanta,Finnish,10,"1,500,000"
Pyotr Kochetkov,Russian,1,"1,500,000"
Jaroslav Halak,Slovak,16,"1,250,000"
Frederik Andersen IR,Danish,10,"3,700,000"
Calgary Flames,,,
Left Wing,COUNTRY,Yrs of Exp,Base Salary
Adam Ruzicka,Slovak,3,"775,000"
Connor Zary,Canada,1,"832,500"
Jonathan Huberdeau,Canada,11,"3,500,000"
Yegor Sharangovich,Belarusian,3,"3,100,000"
A.J. Greer,Canada,6,"775,000"
Jakob Pelletier IR-NR,Canada,1,"832,500"
Center,COUNTRY,Yrs of Exp,Base Salary
Elias Lindholm,Swedish,10,"4,850,000"
Nazem Kadri,Canada,14,"4,500,000"
Mikael Backlund,Swedish,15,"5,350,000"
Dillon Dube,Canada,5,"2,400,000"
Kevin Rooney IR-LT,USA,6,"1,300,000"
Right Wing,COUNTRY,Yrs of Exp,Base Salary
Andrew Mangiapane,Canada,6,"5,800,000"
Martin Pospisil,Slovak,1,"775,000"
Blake Coleman,USA,7,"5,900,000"
Walker Duehr,USA,2,"775,000"
Left Defenseman,COUNTRY,Yrs of Exp,Base Salary
MacKenzie Weegar,Canada,7,"4,250,000"
Noah Hanifin,USA,8,"4,950,000"
Nikita Zadorov,Russia,10,"3,750,000"
Oliver Kylington IR-LT,Swedish,6,"2,500,000"
Right Defenseman,COUNTRY,Yrs of Exp,Base Salary
Rasmus Andersson,Swedish,7,"4,550,000"
Chris Tanev,Canada,13,"4,500,000"
Nick DeSimone,USA,1,"775,000"
Dennis Gilbert,USA,4,"775,000"
Goalie,COUNTRY,Yrs of Exp,Base Salary
Jacob Markstrom DTD,Swedish,13,"8,000,000"
Dan Vladar,Czech,3,"2,200,000"
Dustin Wolf,USA,1,"775,000"
Chicago Blackhawks,,,
Left Wing,COUNTRY,Yrs of Exp,Base Salary
Nick Foligno,USA,16,"4,000,000"
Tyler Johnson,USA,11,"4,750,000"
Boris Katchouk,Canada,2,"775,000"
Reese Johnson,Canada,3,"850,000"
Taylor Hall DTD,Canada,13,"6,250,000"
Samuel Savoie IR-NR,Canada,1,"775,000"
Center,COUNTRY,Yrs of Exp,Base Salary
Connor Bedard,Canada,1,"855,000"
Lukas Reichel,German,2,"832,500"
Jason Dickinson,Canada,8,"3,250,000"
Mackenzie Entwistle,Canada,3,"800,000"
Andreas Athanasiou Out,Canada,8,"4,250,000"
Luke Philp IR-NR,Canada,1,"775,000"
Right Wing,COUNTRY,Yrs of Exp,Base Salary
Philipp Kurashev,Swiss,3,"2,250,000"
Taylor Raddysh,Canada,2,"775,000"
Corey Perry,Canada,18,-
Ryan Donato,USA,6,"2,000,000"
Colin Blackwell IR,USA,4,"1,200,000"
Left Defenseman,COUNTRY,Yrs of Exp,Base Salary
Alex Vlasic,USA,2,"775,000"
Kevin Korchinski,Canada,1,"855,000"
Wyatt Kaiser,USA,1,"832,500"
Right Defenseman,COUNTRY,Yrs of Exp,Base Salary
Seth Jones,USA,10,"7,500,000"
Connor Murphy,USA,10,"5,800,000"
Nikita Zaitsev,Russia,7,"2,500,000"
Isaak Phillips,Canada,1,"80,000"
Jarred Tinordi IR,USA,8,"1,250,000"
Goalie,COUNTRY,Yrs of Exp,Base Salary
Petr Mrazek,Czech,11,"4,400,000"
Arvid Soderblom,Swedish,2,"775,000"
Columbus Blue Jackets,,,
Left Wing,COUNTRY,Yrs of Exp,Base Salary
Dmitri Voronkov,Russian,1,"832,500"
Yegor Chinakhov,Russian,2,"800,000"
Johnny Gaudreau,USA,10,"7,750,000"
Alexandre Texier,French,4,"1,750,000"
Center,COUNTRY,Yrs of Exp,Base Salary
Adam Fantilli,Canada,1,"855,000"
Boone Jenner,Canada,10,"3,750,000"
Cole Sillinger,Canada,2,"832,500"
Sean Kuraly,USA,7,"3,250,000"
Mathieu Olivier,Canada,4,"1,100,000"
Right Wing,COUNTRY,Yrs of Exp,Base Salary
Kirill Marchenko,Russian,1,"832,500"
Patrik Laine,Finnish,7,"7,100,000"
Jack Roslovic,USA,7,"4,000,000"
Justin Danforth,Canada,2,"975,000"
Emil Bemstrom,Swedish,4,"900,000"
Left Defenseman,COUNTRY,Yrs of Exp,Base Salary
Damon Severson,Canada,9,"6,000,000"
Zach Werenski,USA,7,"10,000,000"
David Jiricek,Czech,1,"855,000"
Jake Bean,Canada,4,"2,900,000"
Right Defenseman,COUNTRY,Yrs of Exp,Base Salary
Ivan Provorov,Russian,7,"5,500,000"
Erik Gudbranson,Canada,12,"4,000,000"
Adam Boqvist,Swedish,4,"2,600,000"
Andrew Peeke,USA,4,"2,750,000"
Goalie,COUNTRY,Yrs of Exp,Base Salary
Elvis Merzlikins,Latvia,4,"6,000,000"
Spencer Martin,Canada,3,"775,000"
Daniil Tarasov IR-NR,Russian,2,"1,050,000"
Colorado Avalanche,,,
Left Wing,COUNTRY,Yrs of Exp,Base Salary
Jonathan Drouin,Canada,9,"825,000"
Tomas Tatar,Slovak,12,"1,500,000"
Miles Wood,USA,8,"3,250,000"
Kurtis MacDermid (D),Canada,6,"1,000,000"
Artturi Lehkonen IR,Finnish,7,"5,000,000"
Gabriel Landeskog IR-LT,Swedish,12,"9,000,000"
Center,COUNTRY,Yrs of Exp,Base Salary
Nathan MacKinnon,Canada,10,"775,000"
Ryan Johansen,Canada,12,"8,000,000"
Ross Colton,USA,3,"4,100,000"
Fredrik Olofsson,Sweden,-,-
Andrew Cogliano Out,Canada,16,"825,000"
Jean-Luc Foudy IR-NR,Canada,1,"775,000"
Right Wing,COUNTRY,Yrs of Exp,Base Salary
Valeri Nichushkin,Russia,8,"7,500,000"
Mikko Rantanen,Finland,8,"9,500,000"
Logan O'Connor,Canada,5,"1,000,000"
Joel Kiviranta,Finland,3,"775,000"
Chris Wagner IR-NR,USA,9,"775,000"
Left Defenseman,COUNTRY,Yrs of Exp,Base Salary
Devon Toews,Canada,5,"5,900,000"
Bowen Byram,Canada,3,"3,080,000"
Jack Johnson,USA,17,"775,000"
Caleb Jones,USA,4,"775,000"
Right Defenseman,COUNTRY,Yrs of Exp,Base Salary
Cale Makar,Canada,4,"11,000,000"
Samuel Girard,Canada,6,"5,000,000"
Josh Manson,Canada,9,"5,000,000"
Sam Malinski,USA,1,"775,000"
Goalie,COUNTRY,Yrs of Exp,Base Salary
Alexandar Georgiev,Bulgaria,-,-
Ivan Prosvetov,Russia,1,"775,000"
Pavel Francouz IR-LT,Czech,4,"1,750,000"
Dallas Stars,,,
Left Wing,COUNTRY,Yrs of Exp,Base Salary
Jason Robertson,USA,4,"8,000,000"
Jamie Benn,Canada,14,"1,000,000"
Mason Marchment,Canada,4,"4,800,000"
Sam Steel,Canada,5,"850,000"
Center,COUNTRY,Yrs of Exp,Base Salary
Roope Hintz,Finland,5,"7,500,000"
Wyatt Johnston,Canada,1,"832,500"
Matt Duchene,Canada,14,"3,000,000"
Radek Faksa,Czech,8,"4,000,000"
Ty Dellandrea,Canada,3,"900,000"
Right Wing,COUNTRY,Yrs of Exp,Base Salary
Joe Pavelski,USA,17,"3,500,000"
Evgenii Dadonov,Russia,9,"2,250,000"
Tyler Seguin,Canada,13,"2,950,000"
Craig Smith,Canada,12,"1,000,000"
Left Defenseman,COUNTRY,Yrs of Exp,Base Salary
Ryan Suter,USA,18,"4,300,000"
Esa Lindell,Finland,8,"5,000,000"
Thomas Harley DTD,USA,2,"832,500"
Joel Hanley,Canada,8,"775,000"
Right Defenseman,COUNTRY,Yrs of Exp,Base Salary
Miro Heiskanen,Finland,5,"10,000,000"
Nils Lundkvist,Sweden,2,"832,500"
Jani Hakanpaa,Finland,4,"2,000,000"
Jerad Rosburg IR-NR,USA,1,"775,000"
Goalie,COUNTRY,Yrs of Exp,Base Salary
Jake Oettinger,USA,3,"4,800,000"
Scott Wedgewood,Canada,5,"1,000,000"
Detroit Red Wings,,,
Left Wing,COUNTRY,Yrs of Exp,Base Salary
Alex DeBrincat,USA,6,"8,250,000"
Andrew Copp,USA,9,"6,250,000"
Robby Fabbri,Canada,8,"4,250,000"
Daniel Sprong,Canada,7,"2,000,000"
Center,COUNTRY,Yrs of Exp,Base Salary
Dylan Larkin,USA,8,"10,000,000"
J.T. Compher,USA,7,"5,500,000"
Joe Veleno,Canada,3,"825,000"
Michael Rasmussen,Canada,4,"1,900,000"
Right Wing,COUNTRY,Yrs of Exp,Base Salary
Lucas Raymond,Sweden,2,"832,500"
David Perron,Canada,16,"5,150,000"
Christian Fischer,USA,7,"1,125,000"
Klim Kostin,Russia,4,"2,000,000"
Austin Czarnik DTD,USA,1,"775,000"
Matt Luff IR,Canada,3,"775,000"
Left Defenseman,COUNTRY,Yrs of Exp,Base Salary
Jake Walman,Canada,4,"3,500,000"
Ben Chiarot,Canada,10,"5,250,000"
Shayne Gostisbehere,USA,9,"4,125,000"
Olli Maatta,Finland,10,"3,000,000"
Right Defenseman,COUNTRY,Yrs of Exp,Base Salary
Moritz Seider,USA,2,"832,500"
Jeff Petry,Canada,13,"4,500,000"
Justin Holl,USA,6,"3,400,000"
Goalie,COUNTRY,Yrs of Exp,Base Salary
Ville Husso,Finland,3,"4,750,000"
James Reimer,Canada,13,"1,500,000"
Alex Lyon,USA,6,"900,000"
Edmonton Oilers,,,
Left Wing,COUNTRY,Yrs of Exp,Base Salary
Ryan Nugent-Hopkins,Canada,12,"6,250,000"
Evander Kane,Canada,14,"1,500,000"
Dylan Holloway,Canada,1,"832,500"
Raphael Lavoie,Canada,1,"874,125"
Center,COUNTRY,Yrs of Exp,Base Salary
Connor McDavid,Canada,8,"1,000,000"
Leon Draisaitl,Germany,9,"8,000,000"
Ryan McLeod,Canada,3,"2,100,000"
James Hamblin,Canada,1,"775,000"
Right Wing,COUNTRY,Yrs of Exp,Base Salary
Sam Gagner,Canada,15,"775,000"
Zach Hyman,Canada,8,"7,650,000"
Warren Foegele,Canada,6,"3,250,000"
Derek Ryan,Canada,8,"775,000"
Connor Brown DTD,Canada,8,"775,000"
Mattias Janmark DTD,Sweden,7,"1,000,000"
Left Defenseman,COUNTRY,Yrs of Exp,Base Salary
Darnell Nurse,Canada,9,"10,400,000"
Mattias Ekholm,Sweden,12,"6,500,000"
Brett Kulak,Canada,9,"3,000,000"
Right Defenseman,COUNTRY,Yrs of Exp,Base Salary
Cody Ceci,Canada,10,"4,500,000"
Evan Bouchard,Canada,4,"3,500,000"
Vincent Desharnais,Canada,1,"775,000"
Goalie,COUNTRY,Yrs of Exp,Base Salary
Stuart Skinner,Canada,3,"2,100,000"
Calvin Pickard,Canada,8,"775,000"
Ryan Fanti IR-NR,Canada,1,"832,500"
Florida Panthers,,,
Left Wing,COUNTRY,Yrs of Exp,Base Salary
Evan Rodrigues,USA,7,"775,000"
Carter Verhaeghe,Canada,3,"4,500,000"
Eetu Luostarinen,Finland,3,"1,500,000"
Ryan Lomberg,Canada,4,"825,000"
Jonah Gadjovich IR,Canada,1,"810,000"
Center,COUNTRY,Yrs of Exp,Base Salary
Aleksander Barkov,Finland,9,"1,000,000"
Sam Bennett,Canada,8,"6,350,000"
Anton Lundell,Finland,1,"832,500"
Kevin Stenlund,Sweden,4,"1,000,000"
Right Wing,COUNTRY,Yrs of Exp,Base Salary
Sam Reinhart,Canada,8,"4,500,000"
Matthew Tkachuk,USA,6,"1,000,000"
Nick Cousins,Canada,8,"775,000"
Steven Lorentz,Canada,2,"1,150,000"
William Lockwood,USA,1,"775,000"
Left Defenseman,COUNTRY,Yrs of Exp,Base Salary
Gustav Forsling,Sweden,5,"3,500,000"
Niko Mikkola,Finland,3,"2,500,000"
Josh Mahura,Canada,4,"925,000"
Mike Reilly,USA,7,"1,000,000"
Right Defenseman,COUNTRY,Yrs of Exp,Base Salary
Oliver Ekman-Larsson,Sweden,10,"2,250,000"
Dmitry Kulikov,Russia ,13,"1,000,000"
Uvis Balinskis,Latvia,1,"775,000"
Aaron Ekblad IR-LT,Canada,8,"4,000,000"
Brandon Montour IR,Canada,6,"775,000"
Goalie,COUNTRY,Yrs of Exp,Base Salary
Sergei Bobrovsky,Russia ,12,"5,000,000"
Anthony Stolarz,USA,5,"1,100,000"
Los Angeles Kings,,,
Left Wing,COUNTRY,Yrs of Exp,Base Salary
Quinton Byfield,Canada,2,"832,500"
Kevin Fiala,Switzerland,8,"4,875,000"
Carl Grundstrom,Sweden,4,"1,300,000"
Alex Laferriere,USA,1,"787,500"
Viktor Arvidsson IR-LT,Sweden,8,"4,250,000"
Center,COUNTRY,Yrs of Exp,Base Salary
Anze Kopitar,Slovenia ,16,"7,000,000"
Phillip Danault,Canada,8,"3,750,000"
Pierre-Luc Dubois,Canada,5,"1,000,000"
Blake Lizotte,USA,4,"1,675,000"
Right Wing,COUNTRY,Yrs of Exp,Base Salary
Adrian Kempe,Sweden,6,"5,750,000"
Trevor Moore,USA,4,"3,500,000"
Arthur Kaliyev,USA,2,"832,500"
Trevor Lewis,Canada,14,"775,000"
Left Defenseman,COUNTRY,Yrs of Exp,Base Salary
Mikey Anderson,USA,-,-
Vladislav Gavrikov,Russia,3,"775,000"
Andreas Englund,Sweden,4,"1,000,000"
Right Defenseman,COUNTRY,Yrs of Exp,Base Salary
Drew Doughty,Canada,14,"11,000,000"
Matt Roy,USA,4,"4,200,000"
Jordan Spence,Canada,1,"832,500"
Tobias Bjornfot,Sweden,2,"775,000"
Goalie,COUNTRY,Yrs of Exp,Base Salary
Cam Talbot,Canada,9,"775,000"
Pheonix Copley,USA,4,"1,500,000"
Minnesota Wild,,,
Left Wing,COUNTRY,Yrs of Exp,Base Salary
Kirill Kaprizov,Russia ,2,"12,500,000"
Marcus Johansson,Sweden,12,"2,000,000"
Marcus Foligno,USA,11,"4,100,000"
Brandon Duhaime,USA,1,"1,100,000"
Sam Hentges IR-NR,USA,1,"775,000"
Center,COUNTRY,Yrs of Exp,Base Salary
Marco Rossi,Austria,1,"832,500"
Joel Eriksson Ek,Sweden,6,"6,000,000"
Ryan Hartman,USA,8,"2,000,000"
Connor Dewar,Canada,1,"850,000"
Nicolas Petan,Canada,7,"775,000"
Michael Milne IR-NR,Canada,1,"775,000"
Caedan Bankier IR-NR,Canada,1,"775,000"
Right Wing,COUNTRY,Yrs of Exp,Base Salary
Mats Zuccarello,Norway,12,"3,000,000"
Matt Boldy,USA,1,"8,000,000"
Patrick Maroon,USA,11,"1,000,000"
Vinni Lettieri,USA,4,"775,000"
Frederick Gaudreau IR-LT,Canada,5,"2,950,000"
Left Defenseman,COUNTRY,Yrs of Exp,Base Salary
Jacob Middleton,Canada,4,"2,500,000"
Jonas Brodin,Sweden ,10,"8,000,000"
Dakota Mermis,USA,1,"775,000"
Right Defenseman,COUNTRY,Yrs of Exp,Base Salary
Jared Spurgeon,Canada,12,"8,000,000"
Brock Faber,USA,1,"832,500"
Zach Bogosian,USA,14,"1,050,000"
Jon Merrill,USA,9,"1,200,000"
Alex Goligoski IR-LT,USA,15,"2,000,000"
Goalie,COUNTRY,Yrs of Exp,Base Salary
Marc-Andre Fleury,Canada,18,"3,500,000"
Filip Gustavsson,Sweden ,2,"4,250,000"
Jesper Wallstedt,Sweden ,1,"832,500"
Montreal Canadiens,,,
Left Wing,COUNTRY,Yrs of Exp,Base Salary
Alex Newhook,Canada,2,"3,500,000"
Cole Caufield,USA,2,"4,975,000"
Tanner Pearson,Canada,6,"2,750,000"
Rafael Harvey-Pinard,Canada,1,"1,200,000"
Jesse Ylonen,Finland,1,"775,000"
Center,COUNTRY,Yrs of Exp,Base Salary
Nick Suzuki,Canada,3,"10,000,000"
Christian Dvorak,Canada,6,"5,725,000"
Sean Monahan,Canada,10,"1,985,000"
Jake Evans,Canada,3,"1,700,000"
Kirby Dach IR,Canada,3,"4,100,000"
Right Wing,COUNTRY,Yrs of Exp,Base Salary
Josh Anderson,Canada,8,"8,000,000"
Juraj Slafkovsky,Slovakia,1,"855,000"
Brendan Gallagher,Canada,10,"8,000,000"
Michael Pezzetta,Canada,1,"775,000"
Left Defenseman,COUNTRY,Yrs of Exp,Base Salary
Mike Matheson,Canada,-,-
Kaiden Guhle,Canada,1,"832,500"
Arber Xhekaj,Canada,1,"750,000"
Right Defenseman,COUNTRY,Yrs of Exp,Base Salary
Justin Barron,Canada,1,"832,500"
Johnny Kovacevic,Canada,-,-
Jordan Harris,USA,1,"1,400,000"
Gustav Lindstrom,Sweden,3,"950,000"
David Savard IR,Canada,11,"4,200,000"
Chris Wideman IR,USA,5,"775,000"
Goalie,COUNTRY,Yrs of Exp,Base Salary
Jake Allen,Canada,9,"3,900,000"
Sam Montembeault,Canada,3,"1,000,000"
Cayden Primeau,Canada,1,"800,000"
Carey Price IR-LT,Canada,14,"2,000,000"
New Jersey Devils,,,
Left Wing,COUNTRY,Yrs of Exp,Base Salary
Timo Meier,Switzerland,6,"6,000,000"
Tyler Toffoli,Canada,10,"3,500,000"
Ondrej Palat,Czech,10,"3,580,000"
Tomas Nosek,Czech,7,"1,000,000"
New Jersey Devils,,,
Nolan Foote IR-NR,Canada,1,"832,500"
Center,COUNTRY,Yrs of Exp,Base Salary
Michael McLeod,Canada,4,"1,400,000"
Dawson Mercer,Canada,1,"832,500"
Erik Haula,Finland,9,"2,900,000"
Chris Tierney,Canada,8,"775,000"
Jack Hughes Out,USA,3,"8,500,000"
Nico Hischier Out,Switzerland,5,"7,750,000"
Right Wing,COUNTRY,Yrs of Exp,Base Salary
Jesper Bratt,Sweden,5,"5,000,000"
Alexander Holtz,Sweden,1,"832,500"
Curtis Lazar,Canada,8,"1,000,000"
Nathan Bastian,Canada,3,"1,350,000"
Brian Halonen IR-NR,USA,1,"832,500"
Left Defenseman,COUNTRY,Yrs of Exp,Base Salary
Luke Hughes,USA,1,"832,500"
Jonas Siegenthaler,Switzerand,4,"2,750,000"
Kevin Bahl,Canada,2,"900,000"
Colin Miller IR,Canada,7,"1,700,000"
Right Defenseman,COUNTRY,Yrs of Exp,Base Salary
Dougie Hamilton,Canada,10,"10,600,000"
John Marino,USA,3,"5,250,000"
Brendan Smith,Canada,11,"1,200,000"
Goalie,COUNTRY,Yrs of Exp,Base Salary
Vitek Vanecek,Czech,2,"3,750,000"
Akira Schmid,Switzerland,1,"775,000"
Nico Daws IR-NR,Canada,1,"775,000"
Nashville Predators,,,
Left Wing,COUNTRY,Yrs of Exp,Base Salary
Filip Forsberg,Sweden,10,"10,000,000"
Kiefer Sherwood,USA,1,"775,000"
Juuso Parssinen,Finland,1,"775,000"
Liam Foudy,Canada,4,"775,000"
Center,COUNTRY,Yrs of Exp,Base Salary
Ryan O'Reilly,Canada,13,"5,000,000"
Thomas Novak,Canada,1,"800,000"
Cody Glass,USA,3,"2,500,000"
Colton Sissons,Canada,8,"3,500,000"
Michael McCarron,Canada,4,"775,000"
Right Wing,COUNTRY,Yrs of Exp,Base Salary
Gustav Nyquist,Sweden,10,"3,185,000"
Luke Evangelista,Canada,1,"775,000"
Philip Tomasino,Canada,1,"832,500"
Cole Smith,USA,2,"775,000"
Yakov Trenin,Russia,3,"1,700,000"
Left Defenseman,COUNTRY,Yrs of Exp,Base Salary
Roman Josi,Switzerland,11,"5,000,000"
Jeremy Lauzon,Canada,4,"2,000,000"
Marc Del Gaizo,USA,1,"775,000"
Ryan McDonagh DTD,USA,12,"8,400,000"
Right Defenseman,COUNTRY,Yrs of Exp,Base Salary
Dante Fabbro,Canada,4,"2,500,000"
Alexandre Carrier,Canada,-,-
Tyson Barrie,Canada,11,"3,750,000"
Luke Schenn IR,Canada,14,"2,750,000"
Goalie,COUNTRY,Yrs of Exp,Base Salary
Juuse Saros,Finland,7,"6,000,000"
Kevin Lankinen,Finland,1,"2,000,000"
New York Islanders,,,
Left Wing,COUNTRY,Yrs of Exp,Base Salary
Mathew Barzal,Canada,6,"9,150,000"
Pierre Engvall,Sweden,3,"3,000,000"
Anders Lee,USA,10,"8,950,000"
Julien Gauthier,Canada,3,"775,000"
Matt Martin,Canada,13,"1,500,000"
Daylan Kuefler IR-NR,Canada,1,"775,000"
Center,COUNTRY,Yrs of Exp,Base Salary
Bo Horvat,Canada,8,"8,500,000"
Brock Nelson,USA,9,"5,600,000"
Jean-Gabriel Pageau,Canada,10,"4,500,000"
Casey Cizikas,Canada,11,"2,500,000"
Right Wing,COUNTRY,Yrs of Exp,Base Salary
Simon Holmstrom,Sweden,1,"832,500"
Kyle Palmieri,USA,12,"5,000,000"
Oliver Wahlstrom,USA,2,"874,125"
