Team Name,Player Number,Player Name,Position,Height,Weight,Age,Years of Experience,Career Health,Seasonal Health,Percent of Reinjury, Fanspo Agent,Fanspo Agency, Spotrac Agent,Spotrac Agency
Denver Broncos,51,Ronnie Perkins,DE,6-3,253,24,2,,,,David Mulugheta,Athletes First,David Mulugheta,Athletes First
Denver Broncos,74,Ben Powers,OG,6-4,310,27,4,,,,Thomas Mills,"Capital Sports Advisors
",Thomas Mills,Capital Sports Advisors
Denver Broncos,98,Mike Purcell,DT,6-3,328,32,7,,,,Cameron Foster,Steinberg Sports & Entertainment,Cameron Foster,Equity Sports
Denver Broncos,41,Drew Sanders,LB,6-5,233,--,1,,,,Travis Allen,Athletes First,-,Athletes First
Denver Broncos,31,Justin Simmons,DB,6-2,202,29,7,,,,Todd France,Athletes First,Todd France,CAA Sports
Denver Broncos,49,Alex Singleton,LB,6-2,240,29,4,,,,Jon Baker,ProStar Sports Agency,-,ProStar Sports Agency
Denver Broncos,34,JL Skinner,DB,6-4,220,--,1,,,,-,-,-,-
Denver Broncos,1,Tremon Smith,DB,6-0,190,27,5,,,,James Krenis,Accel Sports Management,James Krenis,Accel Sports
Denver Broncos,4,Jarrett Stidham,QB,6-3,215,27,3,,,,Brian Murphy/Camron Hahn,Athletes First,"Camron Hahn, Brian Murphy",Athletes First
Denver Broncos,40,Justin Strnad,LB,6-3,235,27,3,,,,William Heck,"SPORTSTARS, INC.",-,SportStars
Denver Broncos,2,Patrick Surtain,DB,6-2,202,23,2,,,,-,-,Tory Dandy,CAA Sports
Denver Broncos,14,Courtland Sutton,WR,6-4,216,28,5,,,,Jacob Presser,Milk & Honey Sports,-,Milk & Honey Sports
Denver Broncos,82,Adam Trautman,TE,6-5,253,26,3,,,,Jeffrey Sperbeck,Rep 1 Sports Group,-,Rep 1 Sports
Denver Broncos,32,Delarrin Turner-Yell,DB,5-11,200,23,1,,,,-,-,-,Element Sports Group
Denver Broncos,39,Dwayne Washington,RB,6-1,223,29,7,,,,Stephen Dubin,"Yee & Dubin Sports, LLC",-,Yee & Dubin Sports
Denver Broncos,60,Luke Wattenberg,C,6-5,300,26,1,,,,Cameron Weiss,Dynamic Sports Group,-,Dynamic Sports Group
Denver Broncos,33,Javonte Williams,RB,5-10,220,23,2,,,,Cody Recchion,1 of 1 Agency,"Andy Simms, Cody Recchion",1 of 1 Agency
Denver Broncos,3,Russell Wilson,QB,5-11,215,34,1,,,,Mark Rodgers,"Law Office of Mark Rodgers, P.A.",Mark Rodgers,-
Denver Broncos,80,Greg Dulcich,TE,6-4,245,23,1,,,,-,-,-,Caric Sports Management
Denver Broncos,50,Jonas Griffith,LB,6-4,250,--,2,,,,-,-,-,-
Denver Broncos,89,Brandon Johnson,WR,6-2,195,25,1,,,,-,-,-,-
Denver Broncos,63,Alex Palczewski,OT,6-6,314,--,1,,,,-,-,-,-
Denver Broncos,81,Tim Patrick,WR,6-4,212,29,5,,,,-,-,-,-
Denver Broncos,30,Caden Sterns,DB,6-1,207,--,2,,,,Barry Gardne,Be Great Sports,-,Be Great Sports
Denver Broncos,15,Jalen Virgil,WR,6-1,210,25,1,,,,Harold Lewis/Chad Berger/Ezra Thompson,National Sports Agency,"Chad Berger, Harold Lewis, Ezra Thompson",National Sports Agency
Denver Broncos,8,K'Waun Williams,DB,5-9,185,32,8,,,,-,-,-,-
Denver Broncos,22,Kareem Jackson,DB,5-10,183,35,13,,,,Jason Chayut,"SPORTSTARS, INC.",Jason Chayut,"SPORTSTARS, INC."
Denver Broncos,96,Eyioma Uwazurike,DT,6-6,320,25,1,,,,William Heck,"SPORTSTARS, INC.",-,SportStars
Denver Broncos,36,Tyler Badie,RB,5-8,197,24,1,,,,-,-,-,Element Sports Group
Denver Broncos,46,Michael Bandy,WR,5-10,190,25,1,,,,-,-,-,-
Denver Broncos,6,Ben DiNucci,QB,6-2,215,26,2,,,,Jeremy Cohen,JL Sports,Joe Linta,JL Sports
Denver Broncos,13,Phillip Dorsett,WR,5-10,185,30,8,,,,"Mitchell Frankel
","Impact Sports Management
",Tony Fleming,Impact Sports
Denver Broncos,28,Art Green,DB,6-1,201,--,1,,,,Chad Berger/Ezra Thompson/ Harold Thompson,National Sports Agency,"Harold Lewis, Ezra Thompson, Chad Berger",National Sports Agency
Denver Broncos,52,Marcus Haynes,LB,6-4,240,--,1,,,,-,-,-,-
Denver Broncos,90,Jordan Jackson,DT,6-4,294,25,1,,,,William Heck,"SPORTSTARS, INC.",-,SportStars
Denver Broncos,71,Demontrey Jacobs,OT,6-6,315,--,1,,,,-,-,-,-
Denver Broncos,38,Devon Key,DB,6-0,208,--,1,,,,-,-,-,-
Denver Broncos,85,Lucas Krull,TE,6-6,260,25,1,,,,-,-,-,-
Denver Broncos,96,Tyler Lancaster,DE,6-3,313,29,5,,,,-,-,-,-
Denver Broncos,97,PJ Mustipher,DT,6-4,315,--,1,,,,-,-,-,-
Denver Broncos,64,Haggai Chisom Ndubuisi,,,,,1,,,,-,-,-,-
